eval_accuracy,eval_f1,eval_precision,eval_recall
0.5290858725761773,0.4859749098524896,0.61178190995483,0.5290858725761773
0.6322714681440443,0.6163970386152302,0.6242594826538752,0.6322714681440443
0.6364265927977839,0.619205143440903,0.6306806790021717,0.6364265927977839
0.6346952908587258,0.6076431262976443,0.6406822243980123,0.6346952908587258
0.6239612188365651,0.600789284281708,0.6334950572570768,0.6239612188365651
0.6170360110803325,0.5975033049901479,0.6233169388120631,0.6170360110803325
0.6142659279778393,0.5917199167807562,0.6120463648805435,0.6142659279778393
0.5903739612188366,0.5825152513906139,0.580517495118594,0.5903739612188366
0.5772160664819944,0.5737796085583491,0.5728621443614156,0.5772160664819944
0.5675207756232687,0.5643665113269518,0.5629303431260273,0.5675207756232687
